episodes=228 chunks=30308
embedded 32/30308 (35/s, eta 14.6min)
embedded 672/30308 (36/s, eta 13.8min)
embedded 1312/30308 (37/s, eta 13.3min)
embedded 1952/30308 (37/s, eta 12.8min)
embedded 2592/30308 (39/s, eta 11.7min)
embedded 3232/30308 (39/s, eta 11.7min)
embedded 3872/30308 (38/s, eta 11.5min)
embedded 4512/30308 (38/s, eta 11.4min)
embedded 5152/30308 (38/s, eta 11.1min)
embedded 5792/30308 (38/s, eta 10.7min)
embedded 6432/30308 (38/s, eta 10.4min)
embedded 7072/30308 (38/s, eta 10.1min)
embedded 7712/30308 (38/s, eta 9.8min)
embedded 8352/30308 (38/s, eta 9.6min)
embedded 8992/30308 (38/s, eta 9.3min)
embedded 9632/30308 (38/s, eta 9.0min)
embedded 10272/30308 (39/s, eta 8.6min)
embedded 10912/30308 (39/s, eta 8.4min)
embedded 11552/30308 (39/s, eta 8.1min)
embedded 12192/30308 (38/s, eta 7.9min)
embedded 12832/30308 (38/s, eta 7.6min)
embedded 13472/30308 (38/s, eta 7.3min)
embedded 14112/30308 (38/s, eta 7.1min)
embedded 14752/30308 (38/s, eta 6.8min)
embedded 15392/30308 (38/s, eta 6.5min)
embedded 16032/30308 (38/s, eta 6.3min)
embedded 16672/30308 (38/s, eta 6.0min)
embedded 17312/30308 (38/s, eta 5.7min)
embedded 17952/30308 (38/s, eta 5.4min)
embedded 18592/30308 (38/s, eta 5.1min)
embedded 19232/30308 (38/s, eta 4.9min)
embedded 19872/30308 (38/s, eta 4.6min)
embedded 20512/30308 (38/s, eta 4.3min)
embedded 21152/30308 (38/s, eta 4.0min)
embedded 21792/30308 (38/s, eta 3.7min)
embedded 22432/30308 (38/s, eta 3.4min)
embedded 23072/30308 (38/s, eta 3.2min)
embedded 23712/30308 (38/s, eta 2.9min)
embedded 24352/30308 (38/s, eta 2.6min)
embedded 24992/30308 (38/s, eta 2.4min)
embedded 25632/30308 (38/s, eta 2.1min)
embedded 26272/30308 (38/s, eta 1.8min)
embedded 26912/30308 (38/s, eta 1.5min)
embedded 27552/30308 (37/s, eta 1.2min)
embedded 28192/30308 (37/s, eta 1.0min)
embedded 28832/30308 (37/s, eta 0.7min)
embedded 29472/30308 (37/s, eta 0.4min)
embedded 30112/30308 (37/s, eta 0.1min)
DONE
